year,model,state,y_log,pred_log,cases
2019,Persistence (previous year),MAHARASHTRA,9.60965326059915,9.306740866262498,14907
2019,Persistence (previous year),MANIPUR,5.886104031450156,2.70805020110221,359
2019,Persistence (previous year),MEGHALAYA,4.418840607796598,3.8066624897703196,82
2019,Persistence (previous year),MIZORAM,3.7612001156935624,4.23410650459726,42
2019,Persistence (previous year),NAGALAND,2.1972245773362196,5.91350300563827,8
2019,Persistence (previous year),ODISHA,8.231908243564177,8.556221578383715,3758
2019,Persistence (previous year),PUDUCHERRY,7.616283561580385,6.385194398997726,2030
2019,Persistence (previous year),PUNJAB,9.238927828828094,9.614538010517382,10289
2019,Persistence (previous year),RAJASTHAN,9.525661930231381,9.168267595554275,13706
2019,Persistence (previous year),SIKKIM,6.09807428216624,5.771441123130016,444
2019,Persistence (previous year),TAMIL NADU,9.051110146405625,8.408939605975984,8527
2019,Persistence (previous year),TELANGANA,9.497922439427631,8.432288684325794,13331
2019,Persistence (previous year),TRIPURA,4.74493212836325,4.61512051684126,114
2019,Persistence (previous year),UTTAR PRADESH,9.264639145383562,8.250620082174692,10557
2019,Persistence (previous year),UTTARAKHAND,9.270776740780013,6.536691597591305,10622
2019,State climatology (training mean),ANDAMAN AND NICOBAR,5.1298987149230735,3.5409593240373143,168
2019,State climatology (training mean),ANDHRA PRADESH,8.57300625623545,8.404919948933452,5286
2019,State climatology (training mean),ARUNACHAL PRADESH,4.820281565605037,2.3513752571634776,123
2019,State climatology (training mean),ASSAM,5.2832037287379885,7.86172707782398,196
2019,State climatology (training mean),BIHAR,8.811801223938751,7.6004023345004,6712
2019,State climatology (training mean),CHANDIGARH,5.659482215759621,6.570882962339584,286
2019,State climatology (training mean),CHHATTISGARH,6.583409222158765,7.352441100243583,722
2019,State climatology (training mean),DADRA AND NAGAR HAVELI,7.307872780763706,7.154224655599844,1491
2019,State climatology (training mean),DAMAN AND DIU,6.439350371100098,4.718498871295094,625
2019,State climatology (training mean),DELHI,8.532672762264625,9.012438063215205,5077
2019,State climatology (training mean),GOA,6.900730664045173,5.655991810819852,992
2019,State climatology (training mean),GUJARAT,9.810275170813949,8.726967774991493,18219
2019,State climatology (training mean),HARYANA,7.0967213784947605,8.078688229229872,1207
2019,State climatology (training mean),HIMACHAL PRADESH,5.84354441703136,7.848933726364071,344
2019,State climatology (training mean),JAMMU AND KASHMIR,6.0867747269123065,5.863631175598097,439
2019,State climatology (training mean),JHARKHAND,6.716594773520978,6.375876246018314,825
2019,State climatology (training mean),KARNATAKA,9.74020362461931,9.31798328099154,16986
2019,State climatology (training mean),KERALA,8.445267451844648,9.395948189761288,4652
2019,State climatology (training mean),LAKSHADWEEP,0.0,0.0,0
2019,State climatology (training mean),MADHYA PRADESH,8.340456012916183,8.185071477532283,4189
2019,State climatology (training mean),MAHARASHTRA,9.60965326059915,9.150696519048667,14907
2019,State climatology (training mean),MANIPUR,5.886104031450156,4.6491870714048655,359
2019,State climatology (training mean),MEGHALAYA,4.418840607796598,3.8918202981106265,82
2019,State climatology (training mean),MIZORAM,3.7612001156935624,4.634728988229636,42
2019,State climatology (training mean),NAGALAND,2.1972245773362196,5.8971538676367405,8
2019,State climatology (training mean),ODISHA,8.231908243564177,8.450839690866216,3758
2019,State climatology (training mean),PUDUCHERRY,7.616283561580385,7.855932199718614,2030
2019,State climatology (training mean),PUNJAB,9.238927828828094,9.628392595589819,10289
2019,State climatology (training mean),RAJASTHAN,9.525661930231381,9.105868350379472,13706
2019,State climatology (training mean),SIKKIM,6.09807428216624,5.75890177387728,444
2019,State climatology (training mean),TAMIL NADU,9.051110146405625,9.53899642739739,8527
2019,State climatology (training mean),TELANGANA,9.497922439427631,8.51348632948491,13331
2019,State climatology (training mean),TRIPURA,4.74493212836325,4.740574822994295,114
2019,State climatology (training mean),UTTAR PRADESH,9.264639145383562,8.14945730011808,10557
2019,State climatology (training mean),UTTARAKHAND,9.270776740780013,6.646390514847729,10622
2019,Global annual mean,ANDAMAN AND NICOBAR,5.1298987149230735,8.188359705112246,168
2019,Global annual mean,ANDHRA PRADESH,8.57300625623545,8.188359705112246,5286
2019,Global annual mean,ARUNACHAL PRADESH,4.820281565605037,8.188359705112246,123
2019,Global annual mean,ASSAM,5.2832037287379885,8.188359705112246,196
2019,Global annual mean,BIHAR,8.811801223938751,8.188359705112246,6712
2019,Global annual mean,CHANDIGARH,5.659482215759621,8.188359705112246,286
2019,Global annual mean,CHHATTISGARH,6.583409222158765,8.188359705112246,722
2019,Global annual mean,DADRA AND NAGAR HAVELI,7.307872780763706,8.188359705112246,1491
2019,Global annual mean,DAMAN AND DIU,6.439350371100098,8.188359705112246,625
2019,Global annual mean,DELHI,8.532672762264625,8.188359705112246,5077
2019,Global annual mean,GOA,6.900730664045173,8.188359705112246,992
2019,Global annual mean,GUJARAT,9.810275170813949,8.188359705112246,18219
2019,Global annual mean,HARYANA,7.0967213784947605,8.188359705112246,1207
2019,Global annual mean,HIMACHAL PRADESH,5.84354441703136,8.188359705112246,344
2019,Global annual mean,JAMMU AND KASHMIR,6.0867747269123065,8.188359705112246,439
2019,Global annual mean,JHARKHAND,6.716594773520978,8.188359705112246,825
2019,Global annual mean,KARNATAKA,9.74020362461931,8.188359705112246,16986
2019,Global annual mean,KERALA,8.445267451844648,8.188359705112246,4652
