state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
PUDUCHERRY,2017,4568,66.19,245180.0,48.5,1247953.0,68.33,2598.0,366.0394261642866
PUDUCHERRY,2018,592,66.19,245180.0,48.5,1247953.0,68.33,2598.0,47.43768395123855
PUDUCHERRY,2019,2030,66.19,245180.0,48.5,1247953.0,68.33,2598.0,162.66638246792948
PUDUCHERRY,2020,633,66.19,245180.0,48.5,1247953.0,68.33,2598.0,50.72306408975338
PUDUCHERRY,2021,1625,66.19,245180.0,48.5,1247953.0,68.33,2598.0,130.21323719723418
PUDUCHERRY,2022,1673,66.19,245180.0,48.5,1247953.0,68.33,2598.0,134.05953589598326
PUDUCHERRY,2023,2790,66.19,245180.0,48.5,1247953.0,68.33,2598.0,223.56611186478978
PUDUCHERRY,2024,2128,66.19,245180.0,48.5,1247953.0,68.33,2598.0,170.51924231120884
PUNJAB,2015,14128,69.95,181678.0,48.6,27743338.0,37.48,551.0,50.923937126815815
PUNJAB,2016,10439,69.95,181678.0,48.6,27743338.0,37.48,551.0,37.627051222170884
PUNJAB,2017,15398,69.95,181678.0,48.6,27743338.0,37.48,551.0,55.50161267544662
PUNJAB,2018,14980,69.95,181678.0,48.6,27743338.0,37.48,551.0,53.99494466022798
PUNJAB,2019,10289,69.95,181678.0,48.6,27743338.0,37.48,551.0,37.08638088178142
PUNJAB,2020,8435,69.95,181678.0,48.6,27743338.0,37.48,551.0,30.403695474567623
PUNJAB,2021,23389,69.95,181678.0,48.6,27743338.0,37.48,551.0,84.30492394246143
PUNJAB,2022,11030,69.95,181678.0,48.6,27743338.0,37.48,551.0,39.75729236330538
PUNJAB,2023,13687,69.95,181678.0,48.6,27743338.0,37.48,551.0,49.334366326070786
PUNJAB,2024,6260,69.95,181678.0,48.6,27743338.0,37.48,551.0,22.56397553892037
